constant,count,in_use,category
AZURE_CONN_STR,6,True,Other
BLOB_CONTAINER,6,True,Other
CHUNK_SIZE,2,True,Other
DATA_DIR,18,True,Directories
DEBUG_MODE,17,True,Flags / Modes
GOLDEN_EXPECTED_YEARS,2,True,Other
GOLDEN_TEST_MODE,4,True,Flags / Modes
GOLDEN_TITLES,3,True,Other
MB_CLEANSED_DIR,34,True,Directories
MB_DUMP_URL,3,True,URLs
MB_RAW_DIR,11,True,Directories
METRICS_DIR,5,True,Directories
ROW_LIMIT,53,True,Limits
SEVEN_ZIP_PATH,2,True,Paths
TMDB_API_KEY,10,True,Other
TMDB_DIR,37,True,Directories
TMDB_DISCOVER_URL,2,True,URLs
TMDB_GENRE_URL,2,True,URLs
TMDB_SEARCH_URL,2,True,URLs
TSV_WHITELIST,13,True,Other
AUDIT_SAMPLE_LIMIT,0,False,Limits
BASE_DIR,0,False,Directories
ENRICHED_FILE,0,False,Files
FUZZY_THRESHOLD,0,False,Thresholds
GOLDEN_TEST_SIZE,0,False,Other
JUNK_TITLES_FILE,0,False,Files
MATCHED_DIAGNOSTICS_TSV,0,False,Other
MATCHED_TSV,0,False,Other
MATCH_OUTPUTS,0,False,Other
MAX_CANDIDATES_PER_TITLE,0,False,Other
MB_DUMP_ARCHIVE,0,False,Other
MB_DUMP_DIR,0,False,Directories
MB_JOINED_RELEASE_FILE,0,False,Files
MB_PARQUET_SOUNDTRACKS,0,False,Other
MB_RAW_FILES,0,False,Other
MB_RELEASE_ENRICHED_FILE,0,False,Files
MB_RELEASE_ENRICHED_GUIDED_FILE,0,False,Files
MB_SECONDARY_TYPE_JOIN_FILE,0,False,Files
MB_SOUNDTRACKS_FILE,0,False,Files
MB_SOUNDTRACKS_PARQUET,0,False,Other
MB_STATIC_REFRESH,0,False,Other
MB_TSV_FILES,0,False,Other
PG_DBNAME,0,False,Other
PG_HOST,0,False,Other
PG_PASSWORD,0,False,Other
PG_PORT,0,False,Other
PG_SCHEMA,0,False,Other
PG_USER,0,False,Other
REFRESH_INPUTS,0,False,Other
RESULTS_DIR,0,False,Directories
SCRIPTS_PATH,0,False,Paths
SLEEP_SECONDS,0,False,Timing
STEP_METRICS,0,False,Other
TMDB_GENRE_FILE,0,False,Files
TMDB_MOVIE_GENRE_FILE,0,False,Files
TOP_MOVIES_FILE,0,False,Files
UNATTENDED,0,False,Other
UNMATCHED_TSV,0,False,Other
YEAR_TOLERANCE,0,False,Other
